Time,Energy delta[Wh],GHI,temperature,pressure,humidity,wind_speed,rain_1h,snow_1h,clouds_all,isSun,sunlightTime,dayLength,SunlightTime/daylength,weather_condition,hour,month
01-01-2017 00:00,0,0,1.6,1021,100,4.9,0,0,100,0,0,450,0,4,0,1
01-01-2017 00:15,0,0,1.6,1021,100,4.9,0,0,100,0,0,450,0,4,0,1
01-01-2017 00:30,0,0,1.6,1021,100,4.9,0,0,100,0,0,450,0,4,0,1
01-01-2017 00:45,0,0,1.6,1021,100,4.9,0,0,100,0,0,450,0,4,0,1
01-01-2017 01:00,0,0,1.7,1020,100,5.2,0,0,100,0,0,450,0,4,1,1
01-01-2017 01:15,0,0,1.7,1020,100,5.2,0,0,100,0,0,450,0,4,1,1
01-01-2017 01:30,0,0,1.7,1020,100,5.2,0,0,100,0,0,450,0,4,1,1
01-01-2017 01:45,0,0,1.7,1020,100,5.2,0,0,100,0,0,450,0,4,1,1
01-01-2017 02:00,0,0,1.9,1020,100,5.5,0,0,100,0,0,450,0,4,2,1
01-01-2017 02:15,0,0,1.9,1020,100,5.5,0,0,100,0,0,450,0,4,2,1
01-01-2017 02:30,0,0,1.9,1020,100,5.5,0,0,100,0,0,450,0,4,2,1
01-01-2017 02:45,0,0,1.9,1020,100,5.5,0,0,100,0,0,450,0,4,2,1
01-01-2017 03:00,0,0,2,1019,100,5.7,0,0,100,0,0,450,0,4,3,1
01-01-2017 03:15,0,0,2,1019,100,5.7,0,0,100,0,0,450,0,4,3,1
01-01-2017 03:30,0,0,2,1019,100,5.7,0,0,100,0,0,450,0,4,3,1
01-01-2017 03:45,0,0,2,1019,100,5.7,0,0,100,0,0,450,0,4,3,1
01-01-2017 04:00,0,0,2.5,1018,100,5.6,0,0,100,0,0,450,0,4,4,1
01-01-2017 04:15,0,0,2.5,1018,100,5.6,0,0,100,0,0,450,0,4,4,1
01-01-2017 04:30,0,0,2.5,1018,100,5.6,0,0,100,0,0,450,0,4,4,1
01-01-2017 04:45,0,0,2.5,1018,100,5.6,0,0,100,0,0,450,0,4,4,1
01-01-2017 05:00,0,0,2.6,1017,100,5.7,0,0,100,0,0,450,0,4,5,1
01-01-2017 05:15,0,0,2.6,1017,100,5.7,0,0,100,0,0,450,0,4,5,1
01-01-2017 05:30,0,0,2.6,1017,100,5.7,0,0,100,0,0,450,0,4,5,1
01-01-2017 05:45,0,0,2.6,1017,100,5.7,0,0,100,0,0,450,0,4,5,1
01-01-2017 06:00,0,0,2.8,1017,100,6,0,0,100,0,0,450,0,4,6,1
01-01-2017 06:15,0,0,2.8,1017,100,6,0,0,100,0,0,450,0,4,6,1
01-01-2017 06:30,0,0,2.8,1017,100,6,0,0,100,0,0,450,0,4,6,1
01-01-2017 06:45,0,0,2.8,1017,100,6,0,0,100,0,0,450,0,4,6,1
01-01-2017 07:00,0,0,2.9,1016,100,6.1,0,0,98,0,0,450,0,4,7,1
01-01-2017 07:15,0,0.2,2.9,1016,100,6.1,0,0,98,1,15,450,0.03,4,7,1
01-01-2017 07:30,0,2.7,2.9,1016,100,6.1,0,0,98,1,30,450,0.07,4,7,1
01-01-2017 07:45,0,6.4,2.9,1016,100,6.1,0,0,98,1,45,450,0.1,4,7,1
01-01-2017 08:00,5,10.6,3.5,1016,99,6,0,0,98,1,60,450,0.13,4,8,1
01-01-2017 08:15,33,6,3.5,1016,99,6,0,0,98,1,75,450,0.17,4,8,1
01-01-2017 08:30,44,2.8,3.5,1016,99,6,0,0,98,1,90,450,0.2,4,8,1
01-01-2017 08:45,61,3.1,3.5,1016,99,6,0,0,98,1,105,450,0.23,4,8,1
01-01-2017 09:00,65,3.5,3.6,1016,97,6.2,0,0,100,1,120,450,0.27,4,9,1
01-01-2017 09:15,83,3.8,3.6,1016,97,6.2,0,0,100,1,135,450,0.3,4,9,1
01-01-2017 09:30,69,4.1,3.6,1016,97,6.2,0,0,100,1,150,450,0.33,4,9,1
01-01-2017 09:45,98,4.3,3.6,1016,97,6.2,0,0,100,1,165,450,0.37,4,9,1
01-01-2017 10:00,138,4.5,3.8,1015,93,5.6,0,0,94,1,180,450,0.4,4,10,1
01-01-2017 10:15,161,4.7,3.8,1015,93,5.6,0,0,94,1,195,450,0.43,4,10,1
01-01-2017 10:30,119,6.4,3.8,1015,93,5.6,0,0,94,1,210,450,0.47,4,10,1
01-01-2017 10:45,95,11.9,3.8,1015,93,5.6,0,0,94,1,225,450,0.5,4,10,1
01-01-2017 11:00,105,12.5,3.8,1014,91,5.8,0,0,100,1,240,450,0.53,4,11,1
01-01-2017 11:15,124,10.4,3.8,1014,91,5.8,0,0,100,1,255,450,0.57,4,11,1
01-01-2017 11:30,105,11.3,3.8,1014,91,5.8,0,0,100,1,270,450,0.6,4,11,1
01-01-2017 11:45,67,11.8,3.8,1014,91,5.8,0,0,100,1,285,450,0.63,4,11,1
01-01-2017 12:00,95,11.1,3.8,1014,90,5.9,0,0,100,1,300,450,0.67,4,12,1
01-01-2017 12:15,79,11.3,3.8,1014,90,5.9,0,0,100,1,315,450,0.7,4,12,1
01-01-2017 12:30,42,6,3.8,1014,90,5.9,0,0,100,1,330,450,0.73,4,12,1
01-01-2017 12:45,42,3.7,3.8,1014,90,5.9,0,0,100,1,345,450,0.77,4,12,1
01-01-2017 13:00,55,11.7,3.9,1013,89,6.1,0,0,98,1,360,450,0.8,4,13,1
01-01-2017 13:15,96,10.2,3.9,1013,89,6.1,0,0,98,1,375,450,0.83,4,13,1
01-01-2017 13:30,62,8.3,3.9,1013,89,6.1,0,0,98,1,390,450,0.87,4,13,1
01-01-2017 13:45,102,10,3.9,1013,89,6.1,0,0,98,1,405,450,0.9,4,13,1
01-01-2017 14:00,58,7.5,3.8,1013,89,6.2,0,0,98,1,420,450,0.93,4,14,1
01-01-2017 14:15,30,3.7,3.8,1013,89,6.2,0,0,98,1,435,450,0.97,4,14,1
01-01-2017 14:30,6,0.8,3.8,1013,89,6.2,0,0,98,1,450,450,1,4,14,1
01-01-2017 14:45,0,0,3.8,1013,89,6.2,0,0,98,0,0,450,0,4,14,1
01-01-2017 15:00,0,0,3.6,1013,91,6,0,0,98,0,0,450,0,4,15,1
01-01-2017 15:15,0,0,3.6,1013,91,6,0,0,98,0,0,450,0,4,15,1
01-01-2017 15:30,0,0,3.6,1013,91,6,0,0,98,0,0,450,0,4,15,1
01-01-2017 15:45,0,0,3.6,1013,91,6,0,0,98,0,0,450,0,4,15,1
01-01-2017 16:00,0,0,3.1,1013,91,5.8,0,0,100,0,0,450,0,4,16,1
01-01-2017 16:15,0,0,3.1,1013,91,5.8,0,0,100,0,0,450,0,4,16,1
01-01-2017 16:30,0,0,3.1,1013,91,5.8,0,0,100,0,0,450,0,4,16,1
01-01-2017 16:45,0,0,3.1,1013,91,5.8,0,0,100,0,0,450,0,4,16,1
01-01-2017 17:00,0,0,3.4,1013,91,5.7,0,0,100,0,0,450,0,4,17,1
01-01-2017 17:15,0,0,3.4,1013,91,5.7,0,0,100,0,0,450,0,4,17,1
01-01-2017 17:30,0,0,3.4,1013,91,5.7,0,0,100,0,0,450,0,4,17,1
01-01-2017 17:45,0,0,3.4,1013,91,5.7,0,0,100,0,0,450,0,4,17,1
01-01-2017 18:00,0,0,3,1013,91,5.5,0,0,100,0,0,450,0,4,18,1
01-01-2017 18:15,0,0,3,1013,91,5.5,0,0,100,0,0,450,0,4,18,1
01-01-2017 18:30,0,0,3,1013,91,5.5,0,0,100,0,0,450,0,4,18,1
01-01-2017 18:45,0,0,3,1013,91,5.5,0,0,100,0,0,450,0,4,18,1
01-01-2017 19:00,0,0,3,1012,91,5.4,0,0,100,0,0,450,0,4,19,1
01-01-2017 19:15,0,0,3,1012,91,5.4,0,0,100,0,0,450,0,4,19,1
01-01-2017 19:30,0,0,3,1012,91,5.4,0,0,100,0,0,450,0,4,19,1
01-01-2017 19:45,0,0,3,1012,91,5.4,0,0,100,0,0,450,0,4,19,1
01-01-2017 20:00,0,0,2.9,1012,90,5.5,0,0,100,0,0,450,0,4,20,1
01-01-2017 20:15,0,0,2.9,1012,90,5.5,0,0,100,0,0,450,0,4,20,1
01-01-2017 20:30,0,0,2.9,1012,90,5.5,0,0,100,0,0,450,0,4,20,1
01-01-2017 20:45,0,0,2.9,1012,90,5.5,0,0,100,0,0,450,0,4,20,1
01-01-2017 21:00,0,0,2.8,1012,88,5.7,0.19,0,100,0,0,450,0,5,21,1
01-01-2017 21:15,0,0,2.8,1012,88,5.7,0.19,0,100,0,0,450,0,5,21,1
01-01-2017 21:30,0,0,2.8,1012,88,5.7,0.19,0,100,0,0,450,0,5,21,1
01-01-2017 21:45,0,0,2.8,1012,88,5.7,0.19,0,100,0,0,450,0,5,21,1
01-01-2017 22:00,0,0,2.8,1012,90,5.5,0.26,0,100,0,0,450,0,5,22,1
01-01-2017 22:15,0,0,2.8,1012,90,5.5,0.26,0,100,0,0,450,0,5,22,1
01-01-2017 22:30,0,0,2.8,1012,90,5.5,0.26,0,100,0,0,450,0,5,22,1
01-01-2017 22:45,0,0,2.8,1012,90,5.5,0.26,0,100,0,0,450,0,5,22,1
01-01-2017 23:00,0,0,2.6,1011,94,5.1,0.33,0,100,0,0,450,0,5,23,1
01-01-2017 23:15,0,0,2.6,1011,94,5.1,0.33,0,100,0,0,450,0,5,23,1
01-01-2017 23:30,0,0,2.6,1011,94,5.1,0.33,0,100,0,0,450,0,5,23,1
01-01-2017 23:45,0,0,2.6,1011,94,5.1,0.33,0,100,0,0,450,0,5,23,1
02-01-2017 00:00,0,0,2.5,1011,96,4.9,0.51,0,100,0,0,450,0,5,0,1
02-01-2017 00:15,0,0,2.5,1011,96,4.9,0.51,0,100,0,0,450,0,5,0,1
02-01-2017 00:30,0,0,2.5,1011,96,4.9,0.51,0,100,0,0,450,0,5,0,1
02-01-2017 00:45,0,0,2.5,1011,96,4.9,0.51,0,100,0,0,450,0,5,0,1
02-01-2017 01:00,0,0,1.8,1011,98,4.6,0,0.62,100,0,0,450,0,5,1,1
02-01-2017 01:15,0,0,1.8,1011,98,4.6,0,0.62,100,0,0,450,0,5,1,1
02-01-2017 01:30,0,0,1.8,1011,98,4.6,0,0.62,100,0,0,450,0,5,1,1
02-01-2017 01:45,0,0,1.8,1011,98,4.6,0,0.62,100,0,0,450,0,5,1,1
02-01-2017 02:00,0,0,1.6,1011,99,5,0,0.53,100,0,0,450,0,5,2,1
02-01-2017 02:15,0,0,1.6,1011,99,5,0,0.53,100,0,0,450,0,5,2,1
02-01-2017 02:30,0,0,1.6,1011,99,5,0,0.53,100,0,0,450,0,5,2,1
02-01-2017 02:45,0,0,1.6,1011,99,5,0,0.53,100,0,0,450,0,5,2,1
02-01-2017 03:00,0,0,1.8,1011,100,4.9,0,0.34,100,0,0,450,0,5,3,1
02-01-2017 03:15,0,0,1.8,1011,100,4.9,0,0.34,100,0,0,450,0,5,3,1
02-01-2017 03:30,0,0,1.8,1011,100,4.9,0,0.34,100,0,0,450,0,5,3,1
02-01-2017 03:45,0,0,1.8,1011,100,4.9,0,0.34,100,0,0,450,0,5,3,1
02-01-2017 04:00,0,0,2,1010,99,5,0.16,0,100,0,0,450,0,5,4,1
02-01-2017 04:15,0,0,2,1010,99,5,0.16,0,100,0,0,450,0,5,4,1
02-01-2017 04:30,0,0,2,1010,99,5,0.16,0,100,0,0,450,0,5,4,1
02-01-2017 04:45,0,0,2,1010,99,5,0.16,0,100,0,0,450,0,5,4,1
02-01-2017 05:00,0,0,2.1,1010,99,5.1,0,0,100,0,0,450,0,4,5,1
02-01-2017 05:15,0,0,2.1,1010,99,5.1,0,0,100,0,0,450,0,4,5,1
02-01-2017 05:30,0,0,2.1,1010,99,5.1,0,0,100,0,0,450,0,4,5,1
02-01-2017 05:45,0,0,2.1,1010,99,5.1,0,0,100,0,0,450,0,4,5,1
02-01-2017 06:00,0,0,2,1010,98,5.1,0,0,100,0,0,450,0,4,6,1
02-01-2017 06:15,0,0,2,1010,98,5.1,0,0,100,0,0,450,0,4,6,1
02-01-2017 06:30,0,0,2,1010,98,5.1,0,0,100,0,0,450,0,4,6,1
02-01-2017 06:45,0,0,2,1010,98,5.1,0,0,100,0,0,450,0,4,6,1
02-01-2017 07:00,0,0,1.8,1011,97,5,0,0,100,0,0,450,0,4,7,1
02-01-2017 07:15,0,0.3,1.8,1011,97,5,0,0,100,1,15,450,0.03,4,7,1
02-01-2017 07:30,0,3,1.8,1011,97,5,0,0,100,1,30,450,0.07,4,7,1
02-01-2017 07:45,0,7.3,1.8,1011,97,5,0,0,100,1,45,450,0.1,4,7,1
02-01-2017 08:00,22,12.2,1.8,1011,96,5,0,0,100,1,60,450,0.13,4,8,1
02-01-2017 08:15,33,6.9,1.8,1011,96,5,0,0,100,1,75,450,0.17,4,8,1
